GP_CODE,GP_NAME,APPOINTMENT_MONTH_START_DATE,imd_decile,total_patients,total_appointments,dna_count,face_to_face_count,same_day_count,appts_per_1000_patients,dna_rate_pct
C85001,GOLDTHORPE MEDICAL CENTRE,2025-11-01 00:00:00,2,4431,2371,116,2058,462,535.1,4.89
C85001,GOLDTHORPE MEDICAL CENTRE,2025-12-01 00:00:00,2,4431,2271,129,2035,469,512.5,5.68
C85001,GOLDTHORPE MEDICAL CENTRE,2026-01-01 00:00:00,2,4431,2387,95,2196,556,538.7,3.98
C85001,GOLDTHORPE MEDICAL CENTRE,2026-02-01 00:00:00,2,4431,2324,95,2099,496,524.5,4.09
C85001,GOLDTHORPE MEDICAL CENTRE,2026-04-01 00:00:00,2,4431,2486,123,2161,516,561.0,4.95
C85001,GOLDTHORPE MEDICAL CENTRE,2026-05-01 00:00:00,2,4431,2344,144,2030,458,529.0,6.14
C85003,ASHVILLE MEDICAL CENTRE PMS PRACTICE,2025-11-01 00:00:00,2,13303,6674,241,4233,3092,501.7,3.61
C85003,ASHVILLE MEDICAL CENTRE PMS PRACTICE,2025-12-01 00:00:00,2,13303,6790,275,4146,3368,510.4,4.05
C85003,ASHVILLE MEDICAL CENTRE PMS PRACTICE,2026-01-01 00:00:00,2,13303,7430,300,4609,3591,558.5,4.04
C85003,ASHVILLE MEDICAL CENTRE PMS PRACTICE,2026-02-01 00:00:00,2,13303,6813,265,4329,3126,512.1,3.89
C85003,ASHVILLE MEDICAL CENTRE PMS PRACTICE,2026-04-01 00:00:00,2,13303,8076,243,4280,4445,607.1,3.01
C85003,ASHVILLE MEDICAL CENTRE PMS PRACTICE,2026-05-01 00:00:00,2,13303,7539,268,4036,4128,566.7,3.55
C85004,PENISTONE GROUP PMS PRACTICE,2025-11-01 00:00:00,3,16301,8492,201,3695,4621,520.9,2.37
C85004,PENISTONE GROUP PMS PRACTICE,2025-12-01 00:00:00,3,16301,8434,213,3695,4657,517.4,2.53
C85004,PENISTONE GROUP PMS PRACTICE,2026-01-01 00:00:00,3,16301,9880,212,4256,5536,606.1,2.15
C85004,PENISTONE GROUP PMS PRACTICE,2026-02-01 00:00:00,3,16301,8685,190,3699,4795,532.8,2.19
C85004,PENISTONE GROUP PMS PRACTICE,2026-04-01 00:00:00,3,16301,9368,231,4075,4917,574.7,2.47
C85004,PENISTONE GROUP PMS PRACTICE,2026-05-01 00:00:00,3,16301,8430,257,3661,4677,517.1,3.05
C85005,ROYSTON GROUP PRACTICE,2025-11-01 00:00:00,5,7292,3575,88,2732,1430,490.3,2.46
C85005,ROYSTON GROUP PRACTICE,2025-12-01 00:00:00,5,7292,3576,182,2580,1450,490.4,5.09
C85005,ROYSTON GROUP PRACTICE,2026-01-01 00:00:00,5,7292,3681,143,2733,1569,504.8,3.88
C85005,ROYSTON GROUP PRACTICE,2026-02-01 00:00:00,5,7292,3530,140,2597,1362,484.1,3.97
C85005,ROYSTON GROUP PRACTICE,2026-04-01 00:00:00,5,7292,3681,108,2829,1486,504.8,2.93
C85005,ROYSTON GROUP PRACTICE,2026-05-01 00:00:00,5,7292,3375,105,2559,1348,462.8,3.11
C85006,WOODLAND DRIVE MEDICAL CENTRE,2025-11-01 00:00:00,6,5652,2770,80,2277,1457,490.1,2.89
C85006,WOODLAND DRIVE MEDICAL CENTRE,2025-12-01 00:00:00,6,5652,2818,83,2380,1482,498.6,2.95
C85006,WOODLAND DRIVE MEDICAL CENTRE,2026-01-01 00:00:00,6,5652,3082,99,2609,1693,545.3,3.21
C85006,WOODLAND DRIVE MEDICAL CENTRE,2026-02-01 00:00:00,6,5652,3133,89,2672,1717,554.3,2.84
C85006,WOODLAND DRIVE MEDICAL CENTRE,2026-04-01 00:00:00,6,5652,3215,105,2737,1733,568.8,3.27
C85006,WOODLAND DRIVE MEDICAL CENTRE,2026-05-01 00:00:00,6,5652,3296,118,2841,1904,583.2,3.58
C85007,THE DOVE VALLEY PMS PRACTICE,2025-11-01 00:00:00,2,10467,5270,204,2988,1546,503.5,3.87
C85007,THE DOVE VALLEY PMS PRACTICE,2025-12-01 00:00:00,2,10467,5486,272,2997,1731,524.1,4.96
C85007,THE DOVE VALLEY PMS PRACTICE,2026-01-01 00:00:00,2,10467,5859,295,3354,1878,559.8,5.03
C85007,THE DOVE VALLEY PMS PRACTICE,2026-02-01 00:00:00,2,10467,5560,247,2840,1996,531.2,4.44
C85007,THE DOVE VALLEY PMS PRACTICE,2026-04-01 00:00:00,2,10467,5672,293,3000,2132,541.9,5.17
C85007,THE DOVE VALLEY PMS PRACTICE,2026-05-01 00:00:00,2,10467,5191,250,2763,1874,495.9,4.82
